null,BLDR,2013-10-23
null,BLDR,2013-10-24
DOWN,BLDR,2013-10-25
UP,BLDR,2013-10-28
null,BLDR,2013-10-29
DOWN,BLDR,2013-10-30
DOWN,BLDR,2013-10-31
null,BNCL,2013-10-18
UP,BNCL,2013-10-21
null,BNCL,2013-10-22
null,BNCL,2013-10-23
null,BNCL,2013-10-24
UP,BNCL,2013-10-25
UP,BNCL,2013-10-28
null,BNCL,2013-10-29
null,BNCL,2013-10-30
null,BNCL,2013-10-31
null,BNSO,2013-10-18
null,BNSO,2013-10-21
null,BNSO,2013-10-22
null,BNSO,2013-10-23
null,BNSO,2013-10-24
null,BNSO,2013-10-25
null,BNSO,2013-10-28
null,BNSO,2013-10-29
null,BNSO,2013-10-30
null,BNSO,2013-10-31
null,BOCH,2013-10-18
null,BOCH,2013-10-21
null,BOCH,2013-10-22
null,BOCH,2013-10-23
null,BOCH,2013-10-24
null,BOCH,2013-10-25
null,BOCH,2013-10-28
null,BOCH,2013-10-29
null,BOCH,2013-10-30
null,BOCH,2013-10-31
UP,BODY,2013-10-18
null,BODY,2013-10-21
null,BODY,2013-10-22
null,BODY,2013-10-23
null,BODY,2013-10-24
null,BODY,2013-10-25
UP,BODY,2013-10-28
UP,BODY,2013-10-29
UP,BODY,2013-10-30
null,BODY,2013-10-31
null,BONA,2013-10-18
null,BONA,2013-10-21
null,BONA,2013-10-22
null,BONA,2013-10-23
null,BONA,2013-10-24
null,BONA,2013-10-25
null,BONA,2013-10-28
null,BONA,2013-10-29
null,BONA,2013-10-30
null,BONA,2013-10-31
null,BOTA,2013-10-18
null,BOTA,2013-10-21
null,BOTA,2013-10-22
null,BOTA,2013-10-23
null,BOTA,2013-10-24
null,BOTA,2013-10-25
null,BOTA,2013-10-28
UP,BOTA,2013-10-29
UP,BOTA,2013-10-30
UP,BOTA,2013-10-31
null,BOTJ,2013-10-18
null,BOTJ,2013-10-21
null,BOTJ,2013-10-22
null,BOTJ,2013-10-23
UP,BOTJ,2013-10-24
UP,BOTJ,2013-10-25
null,BOTJ,2013-10-28
null,BOTJ,2013-10-29
UP,BOTJ,2013-10-30
UP,BOTJ,2013-10-31
UP,BPFH,2013-10-18
UP,BPFH,2013-10-21
null,BPFH,2013-10-22
null,BPFH,2013-10-23
null,BPFH,2013-10-24
null,BPFH,2013-10-25
null,BPFH,2013-10-28
null,BPFH,2013-10-29
null,BPFH,2013-10-30
null,BPFH,2013-10-31
null,BPOPN,2013-10-18
null,BPOPN,2013-10-21
null,BPOPN,2013-10-22
null,BPOPN,2013-10-23
null,BPOPN,2013-10-24
null,BPOPN,2013-10-25
null,BPOPN,2013-10-28
null,BPOPN,2013-10-29
null,BPOPN,2013-10-30
null,BPOPN,2013-10-31
UP,BRCD,2013-10-18
UP,BRCD,2013-10-21
DOWN,BRCD,2013-10-22
DOWN,BRCD,2013-10-23
DOWN,BRCD,2013-10-24
null,BRCD,2013-10-25
UP,BRCD,2013-10-28
null,BRCD,2013-10-29
DOWN,BRCD,2013-10-30
UP,BRCD,2013-10-31
null,BRID,2013-10-18
null,BRID,2013-10-21
DOWN,BRID,2013-10-22
DOWN,BRID,2013-10-23
DOWN,BRID,2013-10-24
null,BRID,2013-10-25
null,BRID,2013-10-28
null,BRID,2013-10-29
null,BRID,2013-10-30
null,BRID,2013-10-31
UP,BSET,2013-10-18
null,BSET,2013-10-21
null,BSET,2013-10-22
null,BSET,2013-10-23
null,BSET,2013-10-24
null,BSET,2013-10-25
null,BSET,2013-10-28
null,BSET,2013-10-29
null,BSET,2013-10-30
null,BSET,2013-10-31
null,BTUI,2013-10-18
null,BTUI,2013-10-21
null,BTUI,2013-10-22
UP,BTUI,2013-10-23
UP,BTUI,2013-10-24
UP,BTUI,2013-10-25
null,BTUI,2013-10-28
null,BTUI,2013-10-29
UP,BTUI,2013-10-30
UP,BTUI,2013-10-31
null,BV,2013-10-18
null,BV,2013-10-21
null,BV,2013-10-22
DOWN,BV,2013-10-23
UP,BV,2013-10-24
UP,BV,2013-10-25
null,BV,2013-10-28
null,BV,2013-10-29
null,BV,2013-10-30
null,BV,2013-10-31
null,BYFC,2013-10-18
null,BYFC,2013-10-21
null,BYFC,2013-10-22
null,BYFC,2013-10-23
null,BYFC,2013-10-24
null,BYFC,2013-10-25
null,BYFC,2013-10-28
null,BYFC,2013-10-29
null,BYFC,2013-10-30
null,BYFC,2013-10-31
null,CACG,2013-10-18
null,CACG,2013-10-21
null,CACG,2013-10-22
null,CACG,2013-10-23
null,CACG,2013-10-24
null,CACG,2013-10-25
null,CACG,2013-10-28
null,CACG,2013-10-29
null,CACG,2013-10-30
null,CACG,2013-10-31
UP,CALD,2013-10-18
null,CALD,2013-10-21
null,CALD,2013-10-22
null,CALD,2013-10-23
DOWN,CALD,2013-10-24
DOWN,CALD,2013-10-25
null,CALD,2013-10-28
null,CALD,2013-10-29
null,CALD,2013-10-30
null,CALD,2013-10-31
null,CART,2013-10-18
null,CART,2013-10-21
UP,CART,2013-10-22
UP,CART,2013-10-23
UP,CART,2013-10-24
null,CART,2013-10-25
null,CART,2013-10-28
null,CART,2013-10-29
null,CART,2013-10-30
null,CART,2013-10-31
null,CASS,2013-10-18
null,CASS,2013-10-21
null,CASS,2013-10-22
null,CASS,2013-10-23
null,CASS,2013-10-24
UP,CASS,2013-10-25
null,CASS,2013-10-28
null,CASS,2013-10-29
null,CASS,2013-10-30
null,CASS,2013-10-31
UP,CBAN,2013-10-18
UP,CBAN,2013-10-21
UP,CBAN,2013-10-22
null,CBAN,2013-10-23
null,CBAN,2013-10-24
null,CBAN,2013-10-25
null,CBAN,2013-10-28
null,CBAN,2013-10-29
null,CBAN,2013-10-30
null,CBAN,2013-10-31
UP,CBLI,2013-10-18
UP,CBLI,2013-10-21
null,CBLI,2013-10-22
null,CBLI,2013-10-23
UP,CBLI,2013-10-24
UP,CBLI,2013-10-25
null,CBLI,2013-10-28
null,CBLI,2013-10-29
DOWN,CBLI,2013-10-30
DOWN,CBLI,2013-10-31
null,CBMX,2013-10-18
null,CBMX,2013-10-21
null,CBMX,2013-10-22
null,CBMX,2013-10-23
null,CBMX,2013-10-24
null,CBMX,2013-10-25
DOWN,CBMX,2013-10-28
DOWN,CBMX,2013-10-29
DOWN,CBMX,2013-10-30
DOWN,CBMX,2013-10-31
UP,CBRL,2013-10-18
null,CBRL,2013-10-21
null,CBRL,2013-10-22
null,CBRL,2013-10-23
UP,CBRL,2013-10-24
UP,CBRL,2013-10-25
DOWN,CBRL,2013-10-28
DOWN,CBRL,2013-10-29
UP,CBRL,2013-10-30
UP,CBRL,2013-10-31
null,CCCL,2013-10-18
null,CCCL,2013-10-21
null,CCCL,2013-10-22
null,CCCL,2013-10-23
null,CCCL,2013-10-24
null,CCCL,2013-10-25
null,CCCL,2013-10-28
null,CCCL,2013-10-29
null,CCCL,2013-10-30
null,CCCL,2013-10-31
UP,CCCR,2013-10-18
null,CCCR,2013-10-21
null,CCCR,2013-10-22
null,CCCR,2013-10-23
null,CCCR,2013-10-24
null,CCCR,2013-10-25
null,CCCR,2013-10-28
null,CCCR,2013-10-29
null,CCCR,2013-10-30
null,CCCR,2013-10-31
UP,CCIH,2013-10-18
UP,CCIH,2013-10-21
UP,CCIH,2013-10-22
UP,CCIH,2013-10-23
UP,CCIH,2013-10-24
null,CCIH,2013-10-25
null,CCIH,2013-10-28
null,CCIH,2013-10-29
null,CCIH,2013-10-30
null,CCIH,2013-10-31
UP,CDNS,2013-10-18
null,CDNS,2013-10-21
UP,CDNS,2013-10-22
DOWN,CDNS,2013-10-23
UP,CDNS,2013-10-24
UP,CDNS,2013-10-25
null,CDNS,2013-10-28
null,CDNS,2013-10-29
DOWN,CDNS,2013-10-30
DOWN,CDNS,2013-10-31
DOWN,CDW,2013-10-18
null,CDW,2013-10-21
UP,CDW,2013-10-22
UP,CDW,2013-10-23
UP,CDW,2013-10-24
DOWN,CDW,2013-10-25
null,CDW,2013-10-28
null,CDW,2013-10-29
null,CDW,2013-10-30
null,CDW,2013-10-31
null,CHDN,2013-10-18
null,CHDN,2013-10-21
UP,CHDN,2013-10-22
UP,CHDN,2013-10-23
UP,CHDN,2013-10-24
UP,CHDN,2013-10-25
null,CHDN,2013-10-28
null,CHDN,2013-10-29
UP,CHDN,2013-10-30
UP,CHDN,2013-10-31
DOWN,CHMG,2013-10-18
UP,CHMG,2013-10-21
null,CHMG,2013-10-22
null,CHMG,2013-10-23
null,CHMG,2013-10-24
null,CHMG,2013-10-25
null,CHMG,2013-10-28
UP,CHMG,2013-10-29
UP,CHMG,2013-10-30
UP,CHMG,2013-10-31
null,CHSCO,2013-10-18
null,CHSCO,2013-10-21
null,CHSCO,2013-10-22
null,CHSCO,2013-10-23
null,CHSCO,2013-10-24
null,CHSCO,2013-10-25
null,CHSCO,2013-10-28
null,CHSCO,2013-10-29
null,CHSCO,2013-10-30
null,CHSCO,2013-10-31
DOWN,CHSCP,2013-10-18
null,CHSCP,2013-10-21
null,CHSCP,2013-10-22
null,CHSCP,2013-10-23
null,CHSCP,2013-10-24
UP,CHSCP,2013-10-25
null,CHSCP,2013-10-28
UP,CHSCP,2013-10-29
UP,CHSCP,2013-10-30
UP,CHSCP,2013-10-31
null,CJJD,2013-10-18
null,CJJD,2013-10-21
null,CJJD,2013-10-22
null,CJJD,2013-10-23
null,CJJD,2013-10-24
null,CJJD,2013-10-25
null,CJJD,2013-10-28
null,CJJD,2013-10-29
null,CJJD,2013-10-30
null,CJJD,2013-10-31
DOWN,CLDX,2013-10-18
null,CLDX,2013-10-21
UP,CLDX,2013-10-22
UP,CLDX,2013-10-23
UP,CLDX,2013-10-24
null,CLDX,2013-10-25
DOWN,CLDX,2013-10-28
DOWN,CLDX,2013-10-29
UP,CLDX,2013-10-30
UP,CLDX,2013-10-31
null,CLIR,2013-10-18
null,CLIR,2013-10-21
null,CLIR,2013-10-22
null,CLIR,2013-10-23
null,CLIR,2013-10-24
null,CLIR,2013-10-25
null,CLIR,2013-10-28
null,CLIR,2013-10-29
UP,CLIR,2013-10-30
UP,CLIR,2013-10-31
null,CLWT,2013-10-18
null,CLWT,2013-10-21
null,CLWT,2013-10-22
null,CLWT,2013-10-23
null,CLWT,2013-10-24
null,CLWT,2013-10-25
null,CLWT,2013-10-28
null,CLWT,2013-10-29
null,CLWT,2013-10-30
null,CLWT,2013-10-31
UP,CMCSK,2013-10-18
UP,CMCSK,2013-10-21
DOWN,CMCSK,2013-10-22
UP,CMCSK,2013-10-23
UP,CMCSK,2013-10-24
UP,CMCSK,2013-10-25
UP,CMCSK,2013-10-28
UP,CMCSK,2013-10-29
UP,CMCSK,2013-10-30
UP,CMCSK,2013-10-31
null,CNBC,2013-10-18
null,CNBC,2013-10-21
null,CNBC,2013-10-22
null,CNBC,2013-10-23
null,CNBC,2013-10-24
UP,CNBC,2013-10-25
null,CNBC,2013-10-28
null,CNBC,2013-10-29
UP,CNBC,2013-10-30
UP,CNBC,2013-10-31
null,CNBKA,2013-10-18
null,CNBKA,2013-10-21
null,CNBKA,2013-10-22
null,CNBKA,2013-10-23
null,CNBKA,2013-10-24
null,CNBKA,2013-10-25
null,CNBKA,2013-10-28
null,CNBKA,2013-10-29
null,CNBKA,2013-10-30
null,CNBKA,2013-10-31
UP,CNSL,2013-10-18
null,CNSL,2013-10-21
null,CNSL,2013-10-22
null,CNSL,2013-10-23
null,CNSL,2013-10-24
null,CNSL,2013-10-25
null,CNSL,2013-10-28
null,CNSL,2013-10-29
null,CNSL,2013-10-30
null,CNSL,2013-10-31
null,CNTY,2013-10-18
null,CNTY,2013-10-21
null,CNTY,2013-10-22
null,CNTY,2013-10-23
null,CNTY,2013-10-24
